data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,sort
0.056865,-0.37412,-0.036778,0.00054115,-0.0010779,-7.67E-05,-0.060116,-0.2038,0.15631,-0.016542,-0.020102,-0.0017711,6
0.02341,-0.37316,-0.039885,0.00051675,-0.0011053,-7.73E-05,-0.017229,-0.20227,0.15924,-0.014301,-0.020278,-0.0017869,6
0.056864,-0.37574,-0.036256,0.00051854,-0.0011544,-7.67E-05,-0.060113,-0.20516,0.15802,-0.014039,-0.020173,-0.0017662,6
0.056865,-0.37466,-0.0315,0.00049884,-0.0011716,-7.61E-05,-0.060116,-0.2066,0.15455,-0.013713,-0.020042,-0.0017449,6
0.056867,-0.36989,-0.043,0.00051114,-0.0010994,-7.61E-05,-0.06012,-0.20364,0.16015,-0.013482,-0.019988,-0.0017511,6
0.03189,-0.37369,-0.039832,0.00052135,-0.0011104,-7.65E-05,-0.04078,-0.20664,0.15941,-0.013885,-0.020097,-0.0017575,6
0.056866,-0.37238,-0.041707,0.00051764,-0.0011053,-7.72E-05,-0.060118,-0.20289,0.15905,-0.01417,-0.020238,-0.0017837,6
0.056864,-0.37178,-0.02679,0.00049492,-0.0011089,-7.63E-05,-0.060116,-0.2045,0.15002,-0.01367,-0.020035,-0.0017526,6
0.056867,-0.37322,-0.03565,0.0005213,-0.0011706,-7.67E-05,-0.060122,-0.20314,0.15655,-0.014098,-0.020172,-0.0017597,6
0.056865,-0.37176,-0.032426,0.00051341,-0.001096,-7.73E-05,-0.060114,-0.20525,0.153,-0.014287,-0.020274,-0.0017881,6
0.056864,-0.37189,-0.042779,0.000493,-0.0011354,-7.72E-05,-0.060114,-0.20439,0.16098,-0.014319,-0.020275,-0.0017808,6
0.056864,-0.37032,-0.042807,0.00051923,-0.0010992,-7.71E-05,-0.060112,-0.20471,0.15895,-0.014232,-0.020239,-0.0017797,6
0.056864,-0.37037,-0.035327,0.00052236,-0.0011069,-7.67E-05,-0.060114,-0.20218,0.15502,-0.01394,-0.020135,-0.0017661,6
0.056866,-0.3725,-0.038059,0.00051507,-0.0011363,-7.69E-05,-0.060118,-0.20048,0.15819,-0.014099,-0.020194,-0.0017705,6
0.031887,-0.3764,-0.034721,0.00051586,-0.0011245,-7.69E-05,-0.040769,-0.20823,0.15619,-0.014108,-0.020192,-0.0017704,6
0.056865,-0.37174,-0.041084,0.00051937,-0.0010994,-7.69E-05,-0.060115,-0.20513,0.15609,-0.014029,-0.020173,-0.0017732,6
0.056865,-0.37085,-0.033107,0.00050396,-0.001079,-7.67E-05,-0.060117,-0.20446,0.15817,-0.013747,-0.020109,-0.0017734,6
0.056866,-0.37168,-0.039698,0.00049294,-0.0011583,-7.71E-05,-0.060118,-0.20194,0.15599,-0.014284,-0.020263,-0.0017764,6
0.056863,-0.37082,-0.037044,0.00051353,-0.0010978,-7.77E-05,-0.060107,-0.20373,0.16029,-0.014487,-0.02036,-0.0018007,6
0.056862,-0.37585,-0.0398,0.00052096,-0.0011135,-7.71E-05,-0.060106,-0.20368,0.16025,-0.014184,-0.020226,-0.0017774,6
0.056864,-0.37256,-0.034867,0.00050172,-0.0010723,-7.74E-05,-0.06011,-0.2014,0.1571,-0.014229,-0.020272,-0.0017936,6
0.056864,-0.3729,-0.03545,0.00052056,-0.0011094,-7.73E-05,-0.060111,-0.20206,0.15843,-0.014261,-0.020268,-0.0017862,6
0.056864,-0.37346,-0.034519,0.00051454,-0.001087,-7.71E-05,-0.060109,-0.20346,0.15719,-0.014094,-0.02021,-0.001782,6
0.056865,-0.37168,-0.029297,0.0004922,-0.0010612,-7.68E-05,-0.060113,-0.20195,0.1511,-0.013754,-0.020106,-0.0017751,6
0.056866,-0.37114,-0.036322,0.00051425,-0.0010723,-7.80E-05,-0.060119,-0.19639,0.15818,-0.014594,-0.020403,-0.0018094,6
0.056862,-0.36979,-0.043522,0.00050127,-0.0010146,-7.72E-05,-0.060105,-0.20177,0.16288,-0.013904,-0.020182,-0.001793,6
0.056866,-0.37296,-0.034398,0.00050644,-0.0010324,-7.66E-05,-0.060118,-0.20271,0.15482,-0.013549,-0.020044,-0.001772,6
